0	72	1
0	185	1
0	316	1
0	494	1
0	1194	1
0	6215	1
1	9	1
1	28	1
1	381	1
1	933	1
1	1545	1
1	1679	1
2	18	1
3	83	1
4	1208	1
4	1355	1
5	97	1
6	53	1
7	243	1
8	20	1
8	287	1
9	138	1
10	33	1
11	22	1
12	240	1
13	21	1
13	89	1
13	162	1
13	264	1
13	536	1
13	833	1
13	1122	1
13	1341	1
13	2202	1
13	2613	1
14	87	1
15	79	1
16	41	1
17	3829	1
18	971	1
18	1443	1
19	485	1
20	1569	1
21	54	1
21	59	1
22	68	1
23	963	1
24	4187	1
25	76	1
26	180	1
27	26	1
28	3675	1
29	215	1
30	347	1
30	600	1
30	623	1
30	694	1
30	825	1
30	1236	1
30	2165	1
31	63	1
31	174	1
32	869	1
32	979	1
33	815	1
34	37	1
34	1961	1
35	17	1
35	67	1
35	126	1
36	7232	1
37	25	1
37	857	1
37	913	1
37	5183	1
38	434	1
39	47	1
40	747	1
40	1042	1
40	1393	1
41	2628	1
42	289	1
43	93	1
44	1644	1
44	1718	1
45	227	1
46	385	1
46	1258	1
47	152	1
47	347	1
47	3392	1
47	3756	1
48	186	1
49	853	1
50	4661	1
51	2959	1
52	10015	1
53	84	1
53	5189	1
54	3	1
54	2201	1
55	101	1
56	2248	1
57	1696	1
58	1814	1
59	549	1
60	86	1
60	1931	1
61	2	1
61	439	1
61	835	1
62	4090	1
62	4331	1
63	95	1
64	1194	1
65	921	1
66	4596	1
67	3994	1
68	112	1
68	655	1
68	1125	1
68	3444	1
68	3459	1
68	4297	1
68	4661	1
68	5063	1
68	6435	1
69	279	1
70	198	1
71	3255	1
71	3682	1
72	6	1
72	55	1
72	131	1
72	229	1
72	230	1
72	299	1
72	388	1
72	643	1
72	909	1
72	1100	1
72	1269	1
72	1631	1
72	1818	1
72	2069	1
72	2552	1
73	49	1
73	71	1
73	83	1
73	5095	1
73	5216	1
74	15	1
75	378	1
76	3657	1
77	130	1
78	1805	1
79	31	1
80	2926	1
81	1997	1
82	369	1
82	390	1
83	301	1
84	375	1
84	377	1
85	246	1
86	327	1
87	61	1
87	156	1
87	218	1
88	410	1
89	1119	1
90	4688	1
91	443	1
